date,sentiment.comparative,sentiment-negative-count,sentiment-positive-count,sentiment.score,time
12/7/2011,0,0,0,0,1:18:00
12/7/2011,0,0,0,0,1:17:00
12/7/2011,0,0,0,0,1:17:00
12/7/2011,0,0,0,0,1:17:00
12/7/2011,0,0,0,0,1:15:00
12/7/2011,0,0,0,0,1:15:00
12/4/2011,0,0,0,0,5:15:00
12/4/2011,0.176470588,0,1,3,5:15:00
12/4/2011,3,0,1,3,5:14:00
12/4/2011,0.5,0,1,1,5:14:00
12/4/2011,0,0,0,0,5:14:00
12/4/2011,0,0,0,0,5:14:00
12/4/2011,0.6,0,2,3,5:14:00
12/4/2011,0,0,0,0,5:14:00
12/4/2011,0,0,0,0,5:14:00
12/4/2011,-0.666666667,2,1,-2,5:14:00
12/4/2011,0,0,0,0,5:14:00
12/4/2011,0,0,0,0,5:13:00
12/4/2011,0.3,0,3,6,5:12:00
12/4/2011,0.25,0,1,3,5:04:00
11/17/2011,0,0,0,0,12:25:00
11/17/2011,0,0,0,0,12:25:00
11/17/2011,0,0,0,0,12:19:00
11/17/2011,0,0,0,0,12:19:00
11/17/2011,1,0,1,1,12:18:00
11/17/2011,0,0,0,0,12:18:00
11/17/2011,0,0,0,0,12:17:00
11/7/2011,-0.066666667,1,0,-1,10:21:00
11/7/2011,-0.090909091,1,0,-2,9:59:00
3/7/2013,0,0,0,0,7:29:00
2/26/2013,0.75,0,1,3,3:01:00
2/26/2013,0.2,0,1,1,3:01:00
2/26/2013,0.5,0,2,5,2:58:00
2/26/2013,0.142857143,0,1,1,2:57:00
2/26/2013,0,0,0,0,2:51:00
2/26/2013,0,0,0,0,2:50:00
2/26/2013,0,0,0,0,2:36:00
2/26/2013,0,2,3,0,2:36:00
2/26/2013,0.071428571,0,1,3,2:34:00
2/26/2013,0,0,0,0,2:30:00
2/26/2013,0,0,0,0,2:29:00
2/26/2013,0,0,0,0,2:23:00
2/26/2013,0.4,0,3,8,2:22:00
2/26/2013,1.5,0,2,6,2:22:00
2/26/2013,0,0,0,0,2:14:00
2/26/2013,0.115384615,2,4,3,2:13:00
2/26/2013,0.636363636,0,2,7,2:12:00
2/26/2013,0.096774194,0,1,3,2:10:00
2/26/2013,0,0,0,0,2:09:00
2/26/2013,0.5,0,1,2,2:09:00
2/26/2013,0,0,0,0,1:58:00
2/26/2013,3,0,1,3,1:58:00
2/26/2013,0,0,0,0,1:57:00
2/26/2013,0,0,0,0,1:57:00
2/26/2013,0,0,0,0,1:56:00
2/7/2012,0,0,0,0,11:31:00
2/7/2012,0,0,0,0,11:28:00
2/7/2012,1,0,1,1,11:28:00
2/7/2012,0,0,0,0,11:26:00
2/7/2012,0,0,0,0,11:26:00
2/7/2012,1.5,0,1,3,11:26:00
2/7/2012,0,0,0,0,11:25:00
2/7/2012,2.5,0,2,5,11:24:00
2/7/2012,0.4,0,1,2,11:24:00
2/7/2012,0,0,0,0,11:24:00
2/7/2012,0,0,0,0,11:23:00
2/7/2012,0,0,0,0,11:23:00
2/7/2012,-0.043478261,1,1,-1,11:23:00
2/7/2012,0,0,0,0,11:23:00
2/7/2012,0,0,0,0,11:22:00
2/7/2012,0,0,0,0,11:22:00
2/7/2012,0,0,0,0,11:22:00
12/14/2011,0.428571429,0,1,3,8:43:00
12/14/2011,0,0,0,0,8:43:00
12/14/2011,0.5,0,1,1,8:43:00
12/14/2011,0,0,0,0,8:41:00
12/14/2011,0,0,0,0,8:41:00
12/14/2011,0.285714286,0,1,2,8:41:00
12/14/2011,0,0,0,0,8:41:00
12/14/2011,0,0,0,0,8:39:00
12/14/2011,0.5,1,1,1,8:39:00
12/14/2011,0,0,0,0,8:39:00
12/14/2011,0,0,0,0,8:39:00
12/14/2011,0.125,0,1,1,8:35:00
12/14/2011,0.3,0,1,3,8:34:00
12/14/2011,0.444444444,0,2,4,8:34:00
12/14/2011,0,0,0,0,8:34:00
12/14/2011,0,0,0,0,8:30:00
12/14/2011,1,0,2,4,8:30:00
12/14/2011,0,0,0,0,8:29:00
12/14/2011,0,0,0,0,8:29:00
12/14/2011,0,0,0,0,8:29:00
12/14/2011,0,0,0,0,8:29:00
12/14/2011,1,0,1,2,8:29:00
12/14/2011,0,0,0,0,8:22:00
10/28/2011,0,0,0,0,3:02:00
10/28/2011,1.5,0,1,3,3:02:00
10/28/2011,0,0,0,0,3:01:00
10/28/2011,1,0,1,3,3:01:00
10/28/2011,0.185185185,0,2,5,3:01:00
10/28/2011,0.666666667,0,2,2,3:00:00
10/28/2011,0.25,0,1,4,2:59:00
10/28/2011,0,0,0,0,2:59:00
10/28/2011,0.114285714,0,2,4,2:57:00
10/18/2011,1,0,1,2,1:28:00
10/18/2011,0,0,0,0,1:28:00
10/18/2011,3,0,1,3,1:28:00
10/18/2011,0,0,0,0,1:28:00
10/18/2011,0,0,0,0,1:27:00
10/18/2011,1,0,2,4,1:27:00
10/18/2011,0.6,0,1,3,1:27:00
10/18/2011,0,0,0,0,1:26:00
10/18/2011,0,0,0,0,1:26:00
10/18/2011,0,0,0,0,1:25:00
10/18/2011,0.153846154,0,1,2,1:25:00
10/18/2011,0,0,0,0,1:24:00
10/18/2011,0,0,0,0,1:24:00
10/18/2011,0,0,0,0,1:24:00
10/18/2011,0.666666667,0,1,2,1:23:00
10/18/2011,0.333333333,0,1,1,1:23:00
