date,sentiment.comparative,sentiment-negative-count,sentiment-positive-count,sentiment.score,time
8/19/2011,1.5,0,1,3,9:23:00
8/19/2011,-0.333333333,1,0,-2,9:23:00
8/19/2011,2,0,1,2,9:22:00
8/19/2011,0.666666667,0,1,2,9:17:00
8/19/2011,0.285714286,0,1,2,9:17:00
8/16/2011,0,0,0,0,11:01:00
8/16/2011,0.481481481,0,4,13,9:22:00
8/15/2011,0.241071429,0,12,27,10:09:00
8/14/2011,0.25,0,1,2,10:37:00
8/14/2011,1.5,0,1,3,10:07:00
8/14/2011,0.4,0,1,2,10:06:00
8/14/2011,-0.5,1,0,-1,10:06:00
8/14/2011,0,0,0,0,10:06:00
8/14/2011,0,0,0,0,10:05:00
8/14/2011,0,0,0,0,10:05:00
8/14/2011,1,0,1,2,10:04:00
8/14/2011,0.090909091,0,1,1,10:04:00
8/14/2011,0,0,0,0,10:03:00
8/14/2011,0,0,0,0,10:01:00
8/14/2011,0.25,0,1,2,10:00:00
8/14/2011,0,0,0,0,9:59:00
8/14/2011,0,0,0,0,9:56:00
8/14/2011,0,0,0,0,9:56:00
8/14/2011,0,0,0,0,9:55:00
8/14/2011,0,0,0,0,9:54:00
8/14/2011,0.75,0,1,3,9:53:00
8/14/2011,0.0625,1,1,1,9:53:00
8/14/2011,-0.357142857,2,0,-5,9:53:00
8/14/2011,1,0,1,1,9:50:00
8/14/2011,0,0,0,0,9:50:00
8/14/2011,0.571428571,0,1,4,9:50:00
8/14/2011,-0.105263158,1,0,-2,9:50:00
8/14/2011,1,0,1,1,9:50:00
8/14/2011,0.117647059,0,2,2,9:48:00
8/14/2011,0,0,0,0,9:47:00
8/14/2011,0,0,0,0,9:47:00
8/14/2011,1,0,1,1,9:45:00
8/14/2011,0,0,0,0,9:45:00
8/14/2011,-1,1,0,-1,9:45:00
8/14/2011,0,0,0,0,9:45:00
8/14/2011,0.285714286,0,1,2,9:44:00
8/14/2011,0.095238095,0,2,2,9:44:00
8/14/2011,0.111111111,1,2,1,9:44:00
8/14/2011,1,0,1,3,9:43:00
8/14/2011,0,0,0,0,9:42:00
8/14/2011,0,0,0,0,9:42:00
11/21/2013,0.153846154,1,1,2,2:12:00
11/21/2013,0.8,0,2,4,11:23:00
11/21/2013,3,0,1,3,11:23:00
11/20/2013,0,0,0,0,9:49:00
5/16/2012,0.08,0,3,4,11:55:00
5/14/2012,-0.157894737,2,0,-3,1:54:00
12/26/2011,0.25,1,1,1,12:44:00
12/26/2011,0,0,0,0,12:44:00
12/26/2011,1.5,0,1,3,12:44:00
12/26/2011,0,0,0,0,12:44:00
12/26/2011,0.25,0,1,2,12:43:00
12/11/2011,0.3,0,1,3,5:50:00
12/11/2011,1.333333333,0,1,4,5:46:00
12/11/2011,0,0,0,0,5:44:00
12/11/2011,0,0,0,0,5:44:00
12/11/2011,0,0,0,0,5:44:00
12/11/2011,0,0,0,0,5:44:00
12/9/2011,0,0,0,0,12:07:00
12/9/2011,0.25,0,1,1,12:07:00
12/9/2011,0,0,0,0,12:06:00
12/9/2011,0,0,0,0,12:05:00
12/5/2011,0,0,0,0,5:55:00
12/5/2011,2,0,1,2,5:54:00
12/5/2011,3,0,1,3,5:54:00
12/5/2011,0,0,0,0,5:54:00
12/5/2011,0,0,0,0,5:53:00
12/5/2011,0,0,0,0,5:52:00
12/5/2011,0,0,0,0,5:51:00
12/5/2011,0,0,0,0,5:47:00
12/5/2011,1,0,1,2,5:47:00
12/5/2011,0,0,0,0,5:46:00
12/5/2011,0,0,0,0,5:46:00
11/29/2011,0,0,0,0,11:19:00
11/21/2011,0,0,0,0,9:50:00
11/21/2011,0.166666667,0,1,1,9:43:00
11/21/2011,0.272727273,0,1,3,9:41:00
11/21/2011,0.666666667,0,1,2,9:41:00
11/21/2011,1.666666667,0,2,5,9:37:00
11/21/2011,0,0,0,0,9:36:00
11/21/2011,0.083333333,0,1,1,9:36:00
11/21/2011,0,0,0,0,9:35:00
11/21/2011,-0.166666667,1,0,-1,9:35:00
11/21/2011,1,0,1,1,9:18:00
11/21/2011,0,0,0,0,9:18:00
11/21/2011,0,0,0,0,9:16:00
11/21/2011,2,0,1,2,9:16:00
11/21/2011,0,0,0,0,9:15:00
11/21/2011,0,0,0,0,9:15:00
11/21/2011,0,0,0,0,9:15:00
11/21/2011,0,0,0,0,9:14:00
11/21/2011,0,0,0,0,9:14:00
11/21/2011,0.2,1,1,1,9:12:00
11/21/2011,0,0,0,0,9:12:00
11/21/2011,0.4,0,1,2,9:12:00
11/21/2011,0.5,0,1,2,9:11:00
11/21/2011,4,0,1,4,9:11:00
11/21/2011,0.545454545,0,3,6,9:11:00
11/21/2011,0,0,0,0,9:11:00
11/21/2011,1.5,0,1,3,9:09:00
11/21/2011,0,0,0,0,9:09:00
11/21/2011,0.6,0,1,3,9:09:00
11/21/2011,2,0,1,2,9:05:00
11/21/2011,0.5,0,1,1,9:05:00
11/19/2011,0,0,0,0,8:56:00
11/19/2011,0.666666667,0,1,2,8:56:00
11/19/2011,0,0,0,0,8:56:00
11/19/2011,0,0,0,0,8:56:00
11/19/2011,0,0,0,0,8:56:00
11/19/2011,0,0,0,0,8:55:00
11/19/2011,0,0,0,0,8:55:00
11/19/2011,0,0,0,0,8:55:00
11/19/2011,0.333333333,0,1,2,8:54:00
11/19/2011,0.333333333,0,1,2,8:54:00
11/19/2011,0,0,0,0,8:54:00
11/19/2011,0,0,0,0,8:53:00
11/19/2011,0,0,0,0,8:53:00
11/19/2011,1,0,1,1,8:53:00
11/19/2011,0,0,0,0,8:53:00
11/19/2011,0,0,0,0,8:53:00
11/19/2011,0,0,0,0,8:53:00
11/19/2011,-0.1,1,0,-1,8:52:00
11/19/2011,0.166666667,0,1,2,8:52:00
11/19/2011,0.111111111,0,1,1,8:51:00
11/19/2011,0,1,1,0,8:50:00
11/19/2011,0.090909091,1,2,1,8:50:00
11/19/2011,0,0,0,0,8:49:00
11/19/2011,0.4,0,1,2,8:49:00
11/19/2011,0.333333333,0,1,2,8:49:00
11/19/2011,0,0,0,0,8:49:00
11/19/2011,0,1,1,0,8:49:00
11/19/2011,0,0,0,0,8:48:00
11/19/2011,1,0,2,3,8:47:00
11/19/2011,0,0,0,0,8:47:00
11/19/2011,0.133333333,0,1,2,8:47:00
11/19/2011,0,0,0,0,8:47:00
11/19/2011,0.142857143,0,1,2,8:45:00
11/19/2011,0.090909091,0,1,1,8:45:00
11/19/2011,0,0,0,0,8:45:00
11/19/2011,0,0,0,0,8:44:00
11/9/2011,2,0,1,2,4:22:00
11/9/2011,0,0,0,0,4:04:00
11/3/2011,0,0,0,0,11:44:00
11/3/2011,0,0,0,0,11:44:00
11/3/2011,1.5,0,1,3,11:43:00
11/3/2011,1,0,1,1,11:43:00
11/3/2011,0,0,0,0,11:42:00
11/3/2011,0.428571429,0,2,3,11:42:00
11/3/2011,0,0,0,0,11:41:00
11/3/2011,1,0,2,3,11:40:00
11/3/2011,0.25,1,1,1,11:40:00
11/3/2011,0.5,0,1,1,11:40:00
11/3/2011,1.5,0,1,3,11:40:00
11/3/2011,0,0,0,0,11:39:00
11/3/2011,0,0,0,0,11:39:00
11/3/2011,0,0,0,0,11:39:00
11/3/2011,0,0,0,0,11:39:00
11/3/2011,0,0,0,0,11:39:00
11/3/2011,0,0,0,0,11:38:00
11/3/2011,0,0,0,0,11:38:00
11/3/2011,0.2,0,2,4,11:38:00
11/3/2011,0.666666667,0,1,2,11:37:00
11/3/2011,0.4,0,1,2,11:36:00
11/3/2011,0,0,0,0,11:36:00
11/3/2011,0,0,0,0,11:32:00
11/3/2011,0.25,0,1,1,11:32:00
11/3/2011,1,0,1,1,11:31:00
11/3/2011,0,0,0,0,11:31:00
11/3/2011,0,0,0,0,11:31:00
11/3/2011,-2,1,0,-2,11:31:00
11/3/2011,0,0,0,0,11:30:00
11/3/2011,0.25,0,1,1,11:29:00
11/3/2011,0.181818182,0,1,2,11:29:00
11/3/2011,0,0,0,0,11:29:00
11/3/2011,0,0,0,0,11:29:00
11/3/2011,0,0,0,0,11:29:00
11/3/2011,0,0,0,0,11:29:00
11/3/2011,0,0,0,0,11:29:00
